question,unit,answer
INT1 — Project / opportunity ID (your internal code),Text,
INT2 — Client official / legal name,Text,
INT3 — Country — and province/state if applicable,Text,
"INT4 — Currency for ALL monetary answers on this form (ISO 4217, e.g. CNY, USD)",ISO 4217 code,
"INT5 — Baseline reporting period for “annual” figures (e.g. FY2024, Calendar 2024)",Year / FY label,
INT6 — Interview / site visit date,ISO 8601 date (YYYY-MM-DD),
INT7 — Respondent name and role (who signed off these numbers?),Text,
"A1 — Which city, district, roads or campus does this project cover? What is the exact scope?",Text (list),
"A2 — Is this project new installation, retrofit of existing lights, expansion, or pure O&M upgrade?",New / Retrofit / Expansion / O&M Upgrade,
A3 — How many lights are planned in total? How many will actually be retrofitted or newly installed?,Count (units),
A4 — What is the total installed stock of street lights in this city / region?,Count (units),
"A6 — What types of fixtures are currently installed? (HPS, standard LED, solar, decorative — and approximate mix %)",HPS / LED / Solar / Mix (%),
A7 — How old are the existing fixtures? Are many approaching end-of-life?,Years (average age) / Failure rate %,
B1 — What is the client's approximate total annual spend on city/street lighting (all cash costs attributable to this portfolio in the baseline period)? See Definitions sheet for how this relates to B2–B4 and D2.,Local currency / year,
"B2 — Of that total, how much is the annual electricity bill?",Local currency / year,
B3 — How much is spent on maintenance and O&M annually?,Local currency / year,
B4 — How much is budgeted for equipment purchase or replacement?,Local currency / year (or per project),
B6 — How much is spent on manual inspection labour?,Headcount / frequency / local currency per year,
"B8 — Does the client currently pay for a software platform, system maintenance, or data service?",Yes / No; local currency / year if yes,
"B9 — Has the total lighting spend trended up, down, or flat over the past three years?",Rising / Falling / Flat (with reason),
C1 — What were the annual electricity bills for the past three years (year by year)?,Local currency / year (3 years),
C2 — What was total annual electricity consumption for each of those three years?,kWh / year (3 years),
"C4 — If billing is **flat / single-rate**: state the **average effective tariff** here (local currency per kWh). If **time-of-use (TOU)** or **multi-tier**: give a **blended average** if known, and complete **C4a–C4e** below for peak/off-peak (and shoulder) detail.",Local currency / kWh (effective average; detail in C4a–e),
C4a — What is the **electricity billing type** for lighting-related consumption?,Flat (single rate) / Time-of-use (TOU) / Multi-tier or other (describe),
C4b — **Peak** (or highest tier) **electricity price** per kWh — use when TOU or peak tier applies; otherwise enter N/A.,Local currency / kWh,
C4c — **Off-peak** **electricity price** per kWh — use when TOU applies; otherwise enter N/A.,Local currency / kWh,
C4d — **Shoulder / mid-peak** **electricity price** per kWh — if your utility uses three or more periods; otherwise enter N/A.,Local currency / kWh or N/A,
"C4e — For **TOU / multi-tier**: provide either **(1)** clock **time windows** for peak / off-peak / shoulder, **or** **(2)** approximate **% of annual kWh** in each bucket.",Time windows and/or % of annual kWh by period,
C5 — How many hours per night are the lights currently on?,Hours / night (seasonal variation if any),
"C6 — Is the on/off schedule fixed, or are there special strategies for holidays or major events?",Fixed / Adjustable; describe scenarios,
C7 — Is there already a time-based dimming system in place?,"Yes / No; if yes, % power reduction at low period",
"C9 — Are there incidents of lights left on during daytime, or lights that never switch off?",Frequency / road / cause,
D2 — What is the total annual O&M contract value?,Local currency / year,
D3 — What is the average annual maintenance cost per fixture?,Local currency / fixture / year,
D4 — How many manual inspection rounds are done per year? How many person-days and vehicle-days per round?,Rounds/year; persons/round; vehicle-days/round,
D5 — How many fault / repair tickets are generated per year?,Incidents / year,
D6 — What are the most common fault types? (Lamp out / flickering / driver failure / cable / cabinet),List of fault types by frequency,
D7 — What is the average time to respond to a fault report?,Hours,
D8 — What is the average time to fully repair a fault?,Hours,
"E1 — If using a conventional grid-connected solution, would trenching and cable laying be required?",Yes / No; length in metres,
E2 — What is the approximate cost of cable trenching per kilometre?,Local currency / km,
"E3 — What is the all-in cost per conventional streetlight? (Including pole, fixture, foundation, cable, labour)",Local currency / light,
E5 — What is the cost to build or upgrade one distribution cabinet?,Local currency / cabinet,
"E6 — Are there hidden costs such as road-breaking, re-landscaping, or right-of-way permits?",Yes / No; timeline / cost estimate,
G1 — Who is the paying entity for this project? (Finance bureau / urban management / streetlight centre / SPV / other),Entity name and type,
"G11 — Is the client under fiscal stress, budget freezes, or deferred-payment situations?",Yes / No / Uncertain,
"G12 — Can the client provide a budget approval letter, meeting minutes, or other payment evidence?",Yes / No,
"J1 — Is **this lighting portfolio** (or a defined subset) currently covered by an **EMC, energy performance contracting, ESCO, or similar third-party service contract**?",Yes (whole portfolio) / Partial (subset only) / No / Unknown,
J2 — If **Yes** or **Partial** — what is the **approximate remaining contract term**?,Years (0 if N/A),
J3 — If under contract — what is the **primary payment / revenue mechanic**? (pick closest),Shared savings / Guaranteed savings / Fixed fee or management fee / Lease or rental / Mixed or other (describe),
"J4 — Under the **current** arrangement, **who pays grid electricity** attributable to these lights?",Owner or public client pays / ESCO or contractor pays / Shared or pass-through / Unclear,
"J5 — Any **material contractual constraints**? (buyout or early termination, exclusivity, baseline frozen for savings, gain-sharing caps, pass-through rules)",Text — list key clauses or “none known”,
"J6 — Approximate **annual amount** tied to the **incumbent third-party arrangement** (e.g. fee paid **to** contractor, or contractor’s **share** of savings — state direction in notes). Enter **0 / N/A** if none.",Local currency / year (+ who pays whom in Answer notes),
H7 — Does the client require that the assets must be owned by them?,Yes / No / Undecided,
H10 — What contract length is acceptable to the client?,Years (e.g. 3 / 5 / 8 / 10 / 15),
I2 — Would the client accept a structure where they have usage rights but we retain ownership?,Accept / Reject / Undecided,
I5 — What asset disposal method at contract end is most acceptable to the client? (Free transfer / Discounted buyout / Renewal / We retrieve),Transfer / Buyout / Renewal / Retrieval,
K6 — Would the client authorise sharing of energy-saving and O&M data as a future reference case?,Yes / No / De-identified only,
"C10 — Roughly what share of the electricity bill is **capacity / demand charges** (not kWh energy)? If unknown, give annual amount.",% of bill or local currency / year,
C11 — How is electricity metered for lighting? (single consolidated meter vs multiple meters vs estimated/unmetered allocation),Single / Multiple / Estimated / Mixed — describe,
"C12 — Is there **on‑site solar**, PPAs, or other generation that reduces grid kWh for these lights? Summarize capacity or % of load.",None / Yes — describe,
"D9 — How is O&M delivered today? **In‑house team**, **outsourced contract**, or **mixed** — give approximate split if mixed.",In-house / Outsourced / Mixed (%),
